state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Jharkhand,2018,8.1,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2018,8.2,,,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.75,,30000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,5.7,,70000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,7.7,,60000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,7.15,,65000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.2,,71500.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.25,,130000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.35,,50000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.0,,95000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,5.4,,300000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.2,,160000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,5.1,,240000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,5.55,,23000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2018,6.35,,17000.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,10.3,,7.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.5,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.5,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,1.9,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,10.1,,17.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.1,,110.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,30.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.7,,30.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.0,,140.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2019,9.3,,70.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.3,,,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.7,,505.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.4,,240.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.3,,230.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.3,,220.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,8.0,,540.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2019,10.1,,220.0,RS_Session_255_AU_90.1 (1).csv
